C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_254.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_254.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_254.jpg, 0, 0, 0, 7.807119E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_353.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_353.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_353.jpg, 0, 0, 0, 7.818305E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_454.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_454.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_454.jpg, 0, 0, 0, 7.839868E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_559.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_559.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_559.jpg, 0, 0, 0, 7.959166E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_661.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_661.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_661.jpg, 0, 0, 0, 7.832475E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_766.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_766.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_766.jpg, 0, 0, 0, 7.79164E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_869.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_869.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_869.jpg, 0, 0, 0, 7.798636E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_31_973.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_31_973.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_31_973.jpg, 0, 0, 0, 7.787237E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_080.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_080.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_080.jpg, 0, 0, 0, 7.990556E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_185.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_185.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_185.jpg, 0, 0, 0, 7.90263E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_294.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_294.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_294.jpg, 0, 0, 0, 7.865786E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_398.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_398.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_398.jpg, 0, 0, 0, 7.782631E-05
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_499.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_499.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_499.jpg, 0, 0.2735904, 0, 0.1486234
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_603.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_603.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_603.jpg, 0, 0.5631152, 0, 0.6798711
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_710.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_710.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_710.jpg, 0, 0.9285346, 0, 1.676059
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_813.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_813.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_813.jpg, 0, 1, 0, 2.751992
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_32_921.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_32_921.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_32_921.jpg, 0, 1, 0, 3.900713
C:\Users\91846\Downloads\Training\IMG\center_2022_12_28_19_44_33_024.jpg, C:\Users\91846\Downloads\Training\IMG\left_2022_12_28_19_44_33_024.jpg, C:\Users\91846\Downloads\Training\IMG\right_2022_12_28_19_44_33_024.jpg, -0.1669512, 1, 0, 5.294985
